TurbID,x,y,loc_y,loc_x,area
1,3349.8515,5939.23193,2,3,1
2,3351.0017,6416.6467299999995,2,3,1
3,3314.7797,6892.18395,2,3,1
4,3352.094,7366.14203,2,3,1
5,3355.342,7841.20175,2,3,1
6,3329.4284,8340.797690000001,2,3,1
7,3360.5473,8816.23834,3,3,1
8,3360.2992,9265.21442,3,3,1
9,3359.9419,10696.54549,3,3,1
10,3361.2616,11171.77916,3,3,1
11,3244.0619,11646.05877,3,3,1
12,3286.7788,12121.00426,3,3,1
13,3326.2552,244.02595,0,3,1
14,3328.7796,719.0481599999999,0,3,1
15,3329.7588,1194.28795,0,3,1
16,3333.9042,1658.2573300000001,0,3,1
17,3334.2558,2140.5542600000003,0,3,1
18,3336.8477,2615.58831,0,3,1
19,3338.8861,3090.44941,0,3,1
20,3361.0339,3566.91886,1,3,1
21,3249.0218,4043.58605,1,3,1
22,3250.8602,4519.346729999999,1,3,1
23,3346.8376,4989.86182,1,3,1
24,3322.2136,5465.8856,1,3,1
25,4260.8151,5699.7501600000005,1,4,1
26,4328.53,6171.98539,2,4,1
27,4331.9147,6650.66702,2,4,1
28,4373.2043,7122.6401,2,4,1
29,4267.1024,7597.967079999999,2,4,1
30,4333.9194,8075.094059999999,2,4,1
31,4363.0583,9974.68922,3,4,1
32,4341.538,10448.7068,3,4,1
33,4341.2239,10923.51197,3,4,1
34,4475.873,11359.039270000001,3,4,1
35,4305.956,11874.6941,3,4,1
36,4303.7037,0.0,0,4,1
37,4306.233,473.27282,0,4,1
38,4308.0735,949.4870099999999,0,4,1
39,4310.2121,1424.7466,0,4,1
40,4312.2476,1901.0316,0,4,1
41,4353.3118,2373.37382,0,4,1
42,4315.7548,2851.53764,0,4,1
43,4357.3789,3325.82225,1,4,1
44,4320.3892,3800.2005200000003,1,4,1
45,4320.6831,4245.29983,1,4,1
46,4349.2935,4748.01915,1,4,1
47,4418.2569,5250.99853,1,4,1
48,5501.4529,5458.61691,1,5,1
49,5239.0025,5933.88235,2,5,1
50,5283.0121,6408.29573,2,5,1
51,5309.2053,6882.094929999999,2,5,1
52,5182.8594,8810.61678,2,5,1
53,5289.465,9287.65496,3,5,1
54,5317.0343,9736.40115,3,5,1
55,5340.0893,10182.55459,3,5,1
56,5384.8995,10690.89613,3,5,1
57,5360.5356,11165.397190000002,3,5,1
58,5279.4781,231.50508,0,5,1
59,5285.9086,707.18265,0,5,1
60,5287.3353,1181.28512,0,5,1
61,5316.6078,1660.98299,0,5,1
62,5291.8141,2131.70346,0,5,1
63,5292.8255,2605.73505,0,5,1
64,5296.0205,3109.6425600000002,0,5,1
65,5256.8079,3557.32759,1,5,1
66,5298.3107,4032.5813200000002,1,5,1
67,5303.0059,4512.23649,1,5,1
68,5343.7185,4955.5575,1,5,1
69,1970.7969,5721.27578,1,2,0
70,2012.9322,6197.04607,2,2,0
71,1971.5207,6740.610140000001,2,2,0
72,2001.7513,7146.10095,2,2,0
73,1977.0235,7622.8578,2,2,0
74,1974.6634,8093.11429,2,2,0
75,2017.4857,8572.23882,2,2,0
76,1980.9697,9047.21395,3,2,0
77,1982.9086,9520.0003,3,2,0
78,2020.142,10003.91653,3,2,0
79,1981.1668,10475.97878,3,2,0
80,1873.4535,501.78149,0,2,0
81,1950.4976,974.4432400000001,0,2,0
82,2041.5691,1404.9161900000001,0,2,0
83,1953.9862,1922.45644,0,2,0
84,1954.9133,2399.67753,0,2,0
85,1961.5475,2873.83659,0,2,0
86,1961.2125,3349.2147600000003,1,2,0
87,2016.8768,3821.28985,1,2,0
88,1967.4231,4297.3679,1,2,0
89,1988.9609,4770.76413,1,2,0
90,1970.654,5247.3277100000005,1,2,0
91,1017.8906,6941.41909,2,1,0
92,1035.7611,7403.51736,2,1,0
93,1035.6523,7851.07697,2,1,0
94,1024.2895,8354.88271,2,1,0
95,1024.0701,8829.17894,3,1,0
96,1002.5359,9303.89084,3,1,0
97,1016.791,9830.6455,3,1,0
98,1064.6639,10259.40545,3,1,0
99,1001.5682,10737.13956,3,1,0
100,1003.5004,11210.56368,3,1,0
101,1005.4042,11685.24357,3,1,0
102,952.5796,1710.2570600000001,0,1,0
103,965.8279,2210.0841,0,1,0
104,1029.4748,2642.2018199999998,0,1,0
105,977.7406,3134.45235,0,1,0
106,1013.8914,3609.00665,1,1,0
107,927.8242,4086.1899,1,1,0
108,1022.895,4557.30585,1,1,0
109,1025.7875,5033.51128,1,1,0
110,1014.3173,5509.0799,1,1,0
111,988.6922,5982.41676,2,1,0
112,988.7497,6455.04406,2,1,0
113,9.637399999,7189.28109,2,0,0
114,41.4225,7662.24037,2,0,0
115,27.2828,8136.77274,2,0,0
116,16.9467,8612.70454,2,0,0
117,17.3727,9086.27586,3,0,0
118,18.2145,9561.27009,3,0,0
119,19.0503,10044.405340000001,3,0,0
120,32.1355,10516.756370000001,3,0,0
121,34.0338,10994.26663,3,0,0
122,19.1439,11470.36638,3,0,0
123,61.335,11944.36985,3,0,0
124,0.0,1975.4749399999998,0,0,0
125,18.6945,2425.30767,0,0,0
126,8.535,2898.76489,0,0,0
127,31.2394,3372.1809399999997,1,0,0
128,68.4751,3862.0351,1,0,0
129,19.5283,4309.05443,1,0,0
130,12.6509,4814.6004,1,0,0
131,23.3458,5284.65439,1,0,0
132,62.6774,5749.90633,1,0,0
133,78.4309,6231.32903,2,0,0
134,11.3385,6713.46517,2,0,0
